,accuracy/valid,accuracy/test,accuracy/full,data,validation_loss,validation_data,model,mode,template_type
11,0.4594594594594595,0.34124629080118696,0.35294117647058826,sat,1.4987301403963114,semeval2012,relbert_output/ckpt/albert_custom_c/epoch_2,average_no_mask,
12,0.4166666666666667,0.35964912280701755,0.36507936507936506,u2,1.4987301403963114,semeval2012,relbert_output/ckpt/albert_custom_c/epoch_2,average_no_mask,
13,0.3958333333333333,0.37037037037037035,0.3729166666666667,u4,1.4987301403963114,semeval2012,relbert_output/ckpt/albert_custom_c/epoch_2,average_no_mask,
14,0.54,0.654,0.6436363636363637,google,1.4987301403963114,semeval2012,relbert_output/ckpt/albert_custom_c/epoch_2,average_no_mask,
15,0.6582914572864321,0.6681489716509171,0.6671671671671672,bats,4.223947259444225,semeval2012,relbert_output/ckpt/albert_custom_d/epoch_2,average_no_mask,
16,0.32432432432432434,0.3560830860534125,0.35294117647058826,sat,4.223947259444225,semeval2012,relbert_output/ckpt/albert_custom_d/epoch_2,average_no_mask,
17,0.4166666666666667,0.3815789473684211,0.38492063492063494,u2,4.223947259444225,semeval2012,relbert_output/ckpt/albert_custom_d/epoch_2,average_no_mask,
18,0.3541666666666667,0.41898148148148145,0.4125,u4,4.223947259444225,semeval2012,relbert_output/ckpt/albert_custom_d/epoch_2,average_no_mask,
19,0.74,0.724,0.7254545454545455,google,4.223947259444225,semeval2012,relbert_output/ckpt/albert_custom_d/epoch_2,average_no_mask,
20,0.39195979899497485,0.4224569205113952,0.4194194194194194,bats,2.0611351109758207,semeval2012,relbert_output/ckpt/albert_custom_e/epoch_2,average_no_mask,
21,0.3783783783783784,0.2878338278931751,0.2967914438502674,sat,2.0611351109758207,semeval2012,relbert_output/ckpt/albert_custom_e/epoch_2,average_no_mask,
22,0.25,0.3333333333333333,0.3253968253968254,u2,2.0611351109758207,semeval2012,relbert_output/ckpt/albert_custom_e/epoch_2,average_no_mask,
23,0.3541666666666667,0.3425925925925926,0.34375,u4,2.0611351109758207,semeval2012,relbert_output/ckpt/albert_custom_e/epoch_2,average_no_mask,
24,0.36,0.394,0.39090909090909093,google,2.0611351109758207,semeval2012,relbert_output/ckpt/albert_custom_e/epoch_2,average_no_mask,
0,0.678391959798995,0.6570316842690384,0.6591591591591591,bats,18.958822902244858,semeval2012,relbert_output/ckpt/bert_custom_a/epoch_2,average_no_mask,
1,0.5135135135135135,0.5222551928783383,0.5213903743315509,sat,18.958822902244858,semeval2012,relbert_output/ckpt/bert_custom_a/epoch_2,average_no_mask,
2,0.5416666666666666,0.38596491228070173,0.4007936507936508,u2,18.958822902244858,semeval2012,relbert_output/ckpt/bert_custom_a/epoch_2,average_no_mask,
3,0.5,0.45601851851851855,0.46041666666666664,u4,18.958822902244858,semeval2012,relbert_output/ckpt/bert_custom_a/epoch_2,average_no_mask,
4,0.84,0.766,0.7727272727272727,google,18.958822902244858,semeval2012,relbert_output/ckpt/bert_custom_a/epoch_2,average_no_mask,
5,0.6884422110552764,0.6737076153418566,0.6751751751751752,bats,8.003174987020373,semeval2012,relbert_output/ckpt/bert_custom_b/epoch_2,average_no_mask,
6,0.5135135135135135,0.5252225519287834,0.5240641711229946,sat,8.003174987020373,semeval2012,relbert_output/ckpt/bert_custom_b/epoch_2,average_no_mask,
7,0.4583333333333333,0.42105263157894735,0.4246031746031746,u2,8.003174987020373,semeval2012,relbert_output/ckpt/bert_custom_b/epoch_2,average_no_mask,
8,0.5416666666666666,0.4699074074074074,0.47708333333333336,u4,8.003174987020373,semeval2012,relbert_output/ckpt/bert_custom_b/epoch_2,average_no_mask,
