,distance_function,sat/test,u2/test,u4/test,google/test,bats/test,sat_full,loss,data,prompt,method,classification_loss,validation,loss_value,loss_name,loss_split,lexical_relation_classification/BLESS,lexical_relation_classification/CogALexV,lexical_relation_classification/EVALution,lexical_relation_classification/K&H+N,lexical_relation_classification/ROOT09,relation_mapping_accuracy
30,cosine_similarity,0.5578635014836796,0.5043859649122807,0.5254629629629629,0.836,0.6909394107837687,0.553475935828877,nce,semeval2012,c,mask,False,conceptnet,6.219889536882058,relbert/conceptnet_high_confidence,full,0.9249660991411782,0.8671361502347418,0.6917659804983749,0.9645962300897266,0.8968975242870574,0.7792857142857142
31,cosine_similarity,0.6379821958456974,0.5745614035087719,0.6203703703703703,0.912,0.7871039466370205,0.6417112299465241,nce,semeval2012,c,mask,False,,4.963369704364391,relbert/semeval2012_relational_similarity,validation,0.9282808497815278,0.8781690140845071,0.7074756229685807,0.9636920080684427,0.9222814164838609,0.9111507936507937
32,cosine_similarity,0.29080118694362017,0.32456140350877194,0.3449074074074074,0.614,0.4641467481934408,0.29411764705882354,nce,semeval2012,c,average-no-mask,True,conceptnet,7.414248784383138,relbert/conceptnet_high_confidence,full,0.8862437848425494,0.8370892018779342,0.5384615384615384,0.9659177853516032,0.8567847069884049,0.6545238095238095
33,cosine_similarity,0.29080118694362017,0.32456140350877194,0.3449074074074074,0.614,0.4641467481934408,0.29411764705882354,nce,semeval2012,c,average-no-mask,True,,6.777812920259626,relbert/semeval2012_relational_similarity,validation,0.8862437848425494,0.8370892018779342,0.5384615384615384,0.9659177853516032,0.8567847069884049,0.7127976190476191
34,cosine_similarity,0.6201780415430267,0.5877192982456141,0.5995370370370371,0.93,0.7909949972206781,0.6229946524064172,nce,semeval2012,c,average-no-mask,False,conceptnet,5.833963953531706,relbert/conceptnet_high_confidence,full,0.9102003917432575,0.8643192488262911,0.6923076923076923,0.9580580093204424,0.9147602632403635,0.8346626984126984
35,cosine_similarity,0.658753709198813,0.6491228070175439,0.6759259259259259,0.946,0.8193440800444691,0.6577540106951871,nce,semeval2012,c,average-no-mask,False,,4.853854800877946,relbert/semeval2012_relational_similarity,validation,0.9196926322133494,0.8715962441314554,0.699349945828819,0.9533977881338248,0.9113130680037606,0.926031746031746
36,cosine_similarity,0.6023738872403561,0.5219298245614035,0.5347222222222222,0.842,0.6170094496942746,0.5828877005347594,nce,semeval2012,d,average,True,conceptnet,6.399103390864837,relbert/conceptnet_high_confidence,full,0.9127617899653457,0.8523474178403756,0.676056338028169,0.9604228976838005,0.8865559385772485,0.8295436507936508
37,cosine_similarity,0.6023738872403561,0.5219298245614035,0.5347222222222222,0.842,0.6170094496942746,0.5828877005347594,nce,semeval2012,d,average,True,,5.391784379991253,relbert/semeval2012_relational_similarity,validation,0.9127617899653457,0.8523474178403756,0.676056338028169,0.9604228976838005,0.8865559385772485,0.8500396825396825
38,cosine_similarity,0.6884272997032641,0.6666666666666666,0.6597222222222222,0.958,0.8293496386881601,0.6898395721925134,nce,semeval2012,d,average,False,conceptnet,5.553386698930692,relbert/conceptnet_high_confidence,full,0.9187886093114359,0.865962441314554,0.6879739978331527,0.955762676497183,0.9169539329363836,0.8137698412698413
39,cosine_similarity,0.7151335311572701,0.7192982456140351,0.6921296296296297,0.964,0.8126737076153419,0.7165775401069518,nce,semeval2012,d,average,False,,4.891365619187944,relbert/semeval2012_relational_similarity,validation,0.9251167696248305,0.8607981220657277,0.6841820151679306,0.9595882312026153,0.9103729238483234,0.8752380952380953
40,cosine_similarity,0.6498516320474778,0.6271929824561403,0.625,0.902,0.7509727626459144,0.6524064171122995,nce,semeval2012,d,mask,True,conceptnet,5.73410764718667,relbert/conceptnet_high_confidence,full,0.9246647581738737,0.8826291079812206,0.7172264355362946,0.9616748974055783,0.9094327796928863,0.8544444444444445
41,cosine_similarity,0.6498516320474778,0.6271929824561403,0.625,0.902,0.7509727626459144,0.6524064171122995,nce,semeval2012,d,mask,True,,5.087314611070611,relbert/semeval2012_relational_similarity,validation,0.9246647581738737,0.8826291079812206,0.7172264355362946,0.9616748974055783,0.9094327796928863,0.796765873015873
42,cosine_similarity,0.685459940652819,0.6535087719298246,0.6388888888888888,0.94,0.8076709282934964,0.6818181818181818,nce,semeval2012,d,mask,False,conceptnet,5.40117667730038,relbert/conceptnet_high_confidence,full,0.9281301792978756,0.8856807511737088,0.7210184182015169,0.9625791194268624,0.9207145095581323,0.840515873015873
43,cosine_similarity,0.7329376854599406,0.6578947368421053,0.6574074074074074,0.958,0.8015564202334631,0.7192513368983957,nce,semeval2012,d,mask,False,,4.980851070264752,relbert/semeval2012_relational_similarity,validation,0.9318969413891819,0.8842723004694836,0.7307692307692306,0.9649440077902205,0.9172673143215293,0.8369841269841269
44,cosine_similarity,0.5816023738872403,0.5131578947368421,0.5162037037037037,0.822,0.5764313507504168,0.5641711229946524,nce,semeval2012,d,average-no-mask,True,conceptnet,6.471600758723723,relbert/conceptnet_high_confidence,full,0.9172819044749133,0.8427230046948356,0.6652221018418202,0.9652222299506156,0.8943904732058916,0.8356547619047618
45,cosine_similarity,0.5816023738872403,0.5131578947368421,0.5162037037037037,0.822,0.5764313507504168,0.5641711229946524,nce,semeval2012,d,average-no-mask,True,,5.481269362267484,relbert/semeval2012_relational_similarity,validation,0.9172819044749133,0.8427230046948356,0.6652221018418202,0.9652222299506156,0.8943904732058916,0.8549007936507936
46,cosine_similarity,0.7002967359050445,0.7017543859649122,0.6782407407407407,0.954,0.8171206225680934,0.6978609625668449,nce,semeval2012,d,average-no-mask,False,conceptnet,5.664416233698527,relbert/conceptnet_high_confidence,full,0.9228567123700467,0.862206572769953,0.6782231852654388,0.9577797871600473,0.9034785333751175,0.8758333333333334
47,cosine_similarity,0.6913946587537092,0.6885964912280702,0.6898148148148148,0.968,0.8037798777098388,0.6925133689839572,nce,semeval2012,d,average-no-mask,False,,4.9448698129546775,relbert/semeval2012_relational_similarity,validation,0.9273768268796143,0.8615023474178404,0.6917659804983749,0.9573624539194547,0.9031651519899718,0.8909722222222223
